"중랑구","면목역 2번","전자상거래업","12","10"
"금천구","한울중학교","전자상거래업","9","8"
"성동구","성동용답상가시장","전자상거래업","9","12"
"동작구","예술인마을","전자상거래업","12","20"
"성동구","금남시장","전자상거래업","5","11"
"중랑구","사가정역 4번","전자상거래업","9","13"
"마포구","공덕래미안3차아파트","인테리어","8","8"
"동대문구","시조사삼거리","자동차부품","9","9"
"중랑구","중랑역 1번","전자상거래업","10","9"
"광진구","아차산역 5번","전자상거래업","13","15"
"마포구","합정역 8번","전자상거래업","11","9"
"중랑구","면목역 1번","전자상거래업","7","10"
"강북구","수유북부시장옆","전자상거래업","13","11"
"강남구","포이초등학교(개포목련어린이공원)","전자상거래업","9","5"
"중구","황학코아루아파트","전자상거래업","3","7"
"동대문구","청량리역(청량리)","전자상거래업","8","9"
"중랑구","동성타워프라자","조명용품","21","8"
"중구","명동역지하도상가","화장품","17","5"
"관악구","신림종합시장","인테리어","0","6"
"마포구","마포구청역 1번","전자상거래업","11","8"
"강북구","수유초등학교","전자상거래업","13","9"
"강남구","영동전통시장","전자상거래업","11","12"
"은평구","응암1동주민센터","전자상거래업","8","8"
"강남구","학동역","전자상거래업","8","8"
"동작구","상도초등학교","전자상거래업","15","11"
"동작구","사당종합체육관","전자상거래업","9","6"
"노원구","시영2단지 무지개종합상가(중계 무지개2단지아파트상가)","철물점","31","21"
"금천구","금천구립가산도서관","전자상거래업","8","15"
"마포구","상수역 3번","전자상거래업","10","10"
"영등포구","당산역","전자상거래업","11","10"
"영등포구","구로세무서","전자상거래업","6","4"
"동대문구","동서시장","청과상","4","0"
"종로구","서촌(경복궁역)","전자상거래업","9","10"
"서대문구","북가좌초등학교","전자상거래업","22","8"
"강남구","매봉역 1번","철물점","15","13"
"중랑구","면목역 3번","전자상거래업","4","4"
"동대문구","청량리종합시장","인테리어","7","3"
"구로구","고척초등학교","전자상거래업","7","8"
"도봉구","도봉역 3번","전자상거래업","7","6"
"중구","명동지하쇼핑센터(소공동지하쇼핑센터)","일반의류","0","0"
"노원구","영신여고","전자상거래업","14","11"
"성동구","성수2가3동주민센터","전자상거래업","10","11"
"마포구","상수역 4번","전자상거래업","15","11"
"도봉구","방학1동주민센터","전자상거래업","9","12"
"종로구","체부동홍종문가옥","예술품","23","5"
"성북구","월곡역 4번","조명용품","9","9"
"성북구","경동고등학교","전자상거래업","10","10"
"송파구","장지역(가든파이브)","전자상거래업","5","8"
"마포구","서교시장","예술품","8","11"
"동대문구","장안교","전자상거래업","0","5"
"은평구","백련산해모로아파트","전자상거래업","15","11"
"영등포구","영등포구청역","전자상거래업","11","9"
"금천구","시흥3동 우편취급국","전자상거래업","5","4"
"중랑구","중랑역 4번","전자상거래업","3","10"
"영등포구","당산역 8번","전자상거래업","15","7"
"마포구","합정시장","반찬가게","0","0"
"관악구","봉천중앙시장","인테리어","7","11"
"강북구","강북문화정보도서관","전자상거래업","9","4"
"구로구","오류2동버들시장","전자상거래업","11","9"
"성북구","안암역 3번","전자상거래업","13","14"
"은평구","불광역","전자상거래업","10","12"
"서초구","서초소방서","자동차부품","2","6"
"동대문구","종암초등학교","전자상거래업","6","6"
"강동구","굽은다리역","전자상거래업","10","11"
"성북구","성북초등학교앞","전자상거래업","5","5"
"영등포구","신길2동우편취급국","전자상거래업","5","5"
"동작구","신대방역 3번","전자상거래업","10","6"
"서대문구","아현역 2번","전자상거래업","1","7"
"성북구","삼선중학교","전자상거래업","9","8"
"동대문구","떡전교사거리","전자상거래업","13","10"
"중랑구","중랑역 2번","전자상거래업","9","13"
"도봉구","오!도봉거리 상점가","전자상거래업","10","14"
"구로구","서울공연예술고등학교","전자상거래업","17","12"
"서초구","양재천카페거리","전자상거래업","11","6"
"동작구","신대방역 4번","전자상거래업","10","8"
"강서구","염창역 2번","전자상거래업","8","14"
"서대문구","서연중학교","전자상거래업","15","10"
"용산구","서울역 12번","전자상거래업","6","6"
"금천구","서울축산농협 독산역지점(독산파출소)","전자상거래업","9","5"
"마포구","마포역","전자상거래업","10","10"
"영등포구","대신시장","인테리어","3","7"
"동대문구","답십리초등학교","전자상거래업","10","11"
"강남구","강남시장(강남구 강남시장)","가구","8","6"
"동대문구","동부시장","예술품","7","3"
"관악구","난곡초등학교(난곡동벽화마을)","자동차부품","15","10"
"성동구","마장축산물시장","전자상거래업","2","4"
"서초구","양재화물트럭터미널앞","전자상거래업","10","7"
"중랑구","면목5동주민센터","전자상거래업","12","13"
"강동구","성내중학교","전자상거래업","6","11"
"은평구","하나고등학교","가구","18","15"
"중구","관성묘","전자상거래업","3","0"
"강동구","천호역","전자상거래업","6","8"
"구로구","개봉중학교","전자상거래업","12","16"
"관악구","신신림시장(삼성동시장)","의약품","10","0"
"금천구","독산역 1번 출입구","전자상거래업","40","8"
"관악구","봉천현대시장","의약품","0","10"
"성북구","안암역 2번","화초","16","13"
"성북구","종암경찰서","전자상거래업","12","11"
"동대문구","신설동역","전자상거래업","7","8"
"용산구","후암동주민센터","전자상거래업","8","7"
"동작구","노량진역 6번","전자상거래업","8","11"
"동대문구","용두희망어린이공원","전자상거래업","3","6"
"금천구","가산초등학교(세일중학교)","전자상거래업","9","8"
"강남구","압구정로데오역(압구정로데오)","전자상거래업","12","9"
"영등포구","신대림초등학교","인테리어","14","17"
"강북구","수유중앙골목시장(수유중앙시장)","전자상거래업","7","6"
"서대문구","이대 앞 스타트업 상점가","전자상거래업","7","14"
"강남구","대치2동주민센터","자동차부품","8","9"
"강남구","국악고교사거리","전자상거래업","7","8"
"송파구","석촌고분역 1번","전자상거래업","14","10"
"종로구","사직공원(한국사회과학도서관)","전자상거래업","34","12"
"금천구","박미시장(기능상실)","조명용품","0","0"
"중구","team204(팀204)","화장품","1","8"
"금천구","시흥초등학교(시흥1동우체국)","전자상거래업","10","12"
"구로구","수궁동주민센터","전자상거래업","14","16"
"강동구","천호지구대(천호동자전거거리)","전자상거래업","13","10"
"도봉구","방학초등학교","주유소","12","9"
"광진구","구의사거리","전자상거래업","9","10"
"강남구","국립국악고등학교","전자상거래업","5","4"
"동작구","장승배기역","전자상거래업","5","11"
"동작구","본동인정시장(기능상실)","인테리어","0","18"
"동대문구","한국의류시험연구원","전자상거래업","3","6"
