"은평구","불광먹자골목 골목형상점가","커피-음료","36","21"
"서초구","양재시장","부동산중개업","0","4"
"강서구","남부골목시장(남부화곡시장 남부시장)","중식음식점","28","15"
"동대문구","전곡시장","당구장","11","15"
"서초구","양재시장","여관","22","19"
"성동구","뚝도시장","슈퍼마켓","17","9"
"강북구","강북종합전통시장(강북종합골목시장)","유아의류","4","9"
"서대문구","충정로역","변리사사무소","0","0"
"서초구","강남역","변호사사무소","4","5"
"송파구","장지역(가든파이브)","한복점","0","0"
"성북구","돌곶이시장(석관황금시장)","가방","5","10"
"종로구","종로·청계 관광특구","전자게임장","0","0"
"동대문구","전곡시장","일반의원","3","3"
"광진구","중곡제일시장(중곡제일골목시장 광성시장)","건축물청소","0","4"
"강북구","방천골목시장","치킨전문점","29","41"
"관악구","인헌시장(원당종합시장)","분식전문점","24","21"
"양천구","목사랑시장(목4동시장)","문구","8","7"
"광진구","중곡제일시장(중곡제일골목시장 광성시장)","자동차부품","2","0"
"중구","동대문패션타운 관광특구","건축물청소","0","14"
"송파구","잠실 관광특구","전자상거래업","0","5"
"성북구","성신여대","비디오/서적임대","0","25"
"마포구","연남동(홍대)","모터사이클및부품","0","0"
"마포구","연남동(홍대)","고시원","8","16"
"강남구","강남 마이스 관광특구","안경","9","5"
"강동구","명일전통시장","컴퓨터및주변장치판매","3","3"
"서대문구","영천시장","반찬가게","27","9"
"서초구","강남역","녹음실","0","4"
"양천구","신정2동 골목시장(오목교중앙시장)","미용실","8","7"
"금천구","은행나무시장","세탁소","19","4"
"강동구","로데오거리상점가","의류임대","0","10"
"송파구","잠실 관광특구","커피-음료","31","20"
"은평구","연신내상점가(연빛거리)","비디오/서적임대","0","12"
"동작구","상도전통시장","고시원","20","16"
"동대문구","답십리 건축자재시장","모터사이클수리","10","2"
"노원구","태릉입구역","악기","0","18"
"성북구","석관시장","안경","1","5"
"마포구","도화동 상점가","게스트하우스","5","22"
"마포구","아현시장","스포츠 강습","21","8"
"관악구","인헌시장(원당종합시장)","피부관리실","34","13"
"금천구","가산디지털단지","녹음실","16","0"
"구로구","오류시장","외국어학원","25","2"
"구로구","남구로시장","제과점","26","20"
"금천구","독산동","기타법무서비스","8","0"
"강서구","남부골목시장(남부화곡시장 남부시장)","치과의원","6","2"
"성동구","성동용답상가시장","복권방","0","6"
"강북구","방천골목시장","컴퓨터및주변장치판매","12","3"
"구로구","가리봉시장","재생용품 판매점","0","10"
"은평구","불광먹자골목 골목형상점가","일식음식점","23","12"
"성북구","성신여대","모터사이클수리","8","0"
"도봉구","창동역상점가","일반교습학원","2","7"
"강서구","남부골목시장(남부화곡시장 남부시장)","유아의류","2","8"
"강남구","강남 마이스 관광특구","패스트푸드점","28","22"
"강서구","남부골목시장(남부화곡시장 남부시장)","네일숍","0","6"
"강남구","강남 마이스 관광특구","전자상거래업","0","6"
"노원구","공릉동 도깨비시장","가구","5","3"
"동대문구","이경시장","화장품","11","11"
"성동구","한양대앞상점가(한양시장 왕십리맛골목)","전자게임장","0","50"
"성동구","성수역 골목형상점가","주류도매","40","4"
"도봉구","창동역상점가","피부관리실","20","9"
"강남구","강남 마이스 관광특구","가방","8","5"
"구로구","고척골목시장상점가(그라운드 고척)","독서실","11","29"
"성동구","마장역 3번","중고가구","0","0"
"도봉구","쌍문역둘리상점가","주유소","14","8"
"영등포구","영신상가(제일상가)","피부관리실","30","16"
"서대문구","영천시장","노래방","6","15"
"강남구","강남개포시장","당구장","11","12"
"마포구","아현시장","여행사","0","7"
"강서구","까치산시장","컴퓨터및주변장치판매","10","6"
"은평구","불광먹자골목 골목형상점가","치킨전문점","38","49"
"관악구","인헌시장(원당종합시장)","골프연습장","7","7"
"강북구","방천골목시장","노래방","11","13"
"종로구","종로·청계 관광특구","변호사사무소","2","6"
"동작구","사당1동먹자골목상점가(사당1동먹자골목)","세무사사무소","1","0"
"도봉구","도봉역 2번","통번역서비스","0","0"
"강북구","방천골목시장","제과점","23","17"
"성북구","돌곶이시장(석관황금시장)","분식전문점","24","14"
"종로구","종로·청계 관광특구","예술품","7","5"
"서초구","강남역","자동차수리","9","5"
"도봉구","방학역 1번","전자게임장","0","0"
"송파구","잠실 관광특구","반찬가게","11","8"
"강동구","고덕 골목형상점가","청과상","9","11"
"광진구","신성시장(신성골목시장)","한의원","6","5"
"강북구","강북북부골목시장","독서실","17","17"
"강동구","고덕 골목형상점가","동물병원","7","2"
"강서구","남부골목시장(남부화곡시장 남부시장)","호프-간이주점","5","15"
"양천구","목2동시장","의약품","7","4"
"용산구","한남오거리","DVD방","0","0"
"서대문구","영천시장","문구","6","6"
"중랑구","신아타운","예술품","10","0"
"양천구","목동역 8번출구","전자게임장","0","25"
"성동구","뚝도시장","자동차수리","5","4"
"동작구","남성사계시장(남성시장)","통신기기수리","10","10"
"서초구","강남역","전자게임장","0","0"
"영등포구","영등포시장기계공구상가","복권방","2","13"
"광진구","신성시장(신성골목시장)","청과상","10","11"
"강남구","수서역","재생용품 판매점","0","0"
"금천구","가산디지털단지","중고차판매","0","0"
"양천구","월정로시장","자동차수리","4","2"
"동작구","사당1동먹자골목상점가(사당1동먹자골목)","일식음식점","12","8"
"강동구","고덕 골목형상점가","한의원","5","6"
"서초구","양재시장","피부관리실","18","13"
"강남구","강남 마이스 관광특구","일반의류","4","8"
"도봉구","도봉구보건소","한복점","0","0"
"서초구","양재시장","신발","2","6"
