"영등포구","2020","전통시장","2549","7","9"
"광진구","2017","전통시장","949","12","12"
"강남구","2019","골목상권","5271","13","12"
"종로구","2017","발달상권","15757","11","11"
"송파구","2021","골목상권","8522","10","9"
"성동구","2019","골목상권","4820","11","11"
"구로구","2018","골목상권","6609","11","14"
"송파구","2019","골목상권","8467","12","13"
"강동구","2020","전통시장","1492","13","12"
"양천구","2021","골목상권","5219","11","10"
"금천구","2019","발달상권","6134","9","12"
"마포구","2021","골목상권","8013","13","10"
"성동구","2018","전통시장","3396","9","11"
"구로구","2021","발달상권","8245","6","7"
"영등포구","2018","전통시장","2607","7","12"
"영등포구","2021","골목상권","6977","10","10"
"광진구","2018","골목상권","6553","13","14"
"마포구","2018","전통시장","2829","14","15"
"도봉구","2019","골목상권","5056","13","14"
"종로구","2019","전통시장","3601","7","9"
"광진구","2021","발달상권","6052","11","11"
"동작구","2018","전통시장","1795","13","15"
"중구","2017","발달상권","20286","10","12"
"송파구","2018","관광특구","2286","10","16"
"종로구","2020","관광특구","5249","5","8"
"용산구","2021","골목상권","6205","10","9"
"마포구","2020","골목상권","7926","12","13"
"구로구","2020","발달상권","8421","6","10"
"성북구","2019","골목상권","6834","12","14"
"중구","2019","전통시장","13952","5","10"
"서대문구","2017","골목상권","4539","14","15"
"광진구","2019","발달상권","6053","11","13"
"서초구","2017","골목상권","4533","12","13"
"도봉구","2020","발달상권","489","9","10"
"양천구","2019","전통시장","1523","12","13"
"성동구","2020","전통시장","3312","8","10"
"강남구","2020","관광특구","882","2","11"
"양천구","2017","발달상권","5368","15","15"
"중구","2019","골목상권","2217","10","10"
"강남구","2020","전통시장","1254","9","10"
"용산구","2017","관광특구","1801","14","14"
"송파구","2019","발달상권","15031","11","12"
"중랑구","2017","전통시장","1982","14","16"
"금천구","2020","전통시장","1258","8","11"
"금천구","2020","골목상권","4975","10","11"
"서대문구","2017","전통시장","1751","13","15"
"용산구","2018","발달상권","8135","8","11"
"관악구","2019","발달상권","2858","13","16"
"광진구","2018","전통시장","935","9","13"
"마포구","2019","전통시장","2849","16","16"
"종로구","2019","골목상권","3086","12","11"
"강남구","2021","발달상권","37118","10","9"
"도봉구","2018","골목상권","5107","13","15"
"동작구","2020","발달상권","4245","10","12"
"마포구","2017","발달상권","9465","21","17"
"서초구","2020","발달상권","24785","8","10"
"구로구","2017","골목상권","6797","14","15"
"양천구","2020","골목상권","5175","12","12"
"영등포구","2017","전통시장","2725","10","12"
"서초구","2018","전통시장","985","7","6"
"노원구","2020","발달상권","4335","9","12"
"은평구","2019","골목상권","7308","12","14"
"영등포구","2021","전통시장","2476","5","8"
"강북구","2020","전통시장","1462","12","12"
"동대문구","2017","전통시장","3106","8","9"
"노원구","2017","골목상권","4860","16","16"
"성동구","2021","발달상권","2720","11","9"
"성동구","2018","골목상권","4811","11","12"
"서초구","2018","골목상권","4483","10","11"
"강북구","2020","골목상권","4609","12","12"
"노원구","2021","골목상권","4737","12","12"
"강동구","2019","발달상권","5735","11","15"
"구로구","2021","골목상권","6400","10","9"
"동작구","2017","전통시장","1852","14","16"
"강서구","2020","골목상권","8968","11","12"
"서대문구","2018","골목상권","4460","11","13"
"동작구","2017","골목상권","4685","15","14"
"금천구","2021","전통시장","1240","10","10"
"중구","2017","관광특구","24808","10","13"
"강남구","2021","전통시장","1258","8","7"
"서대문구","2018","전통시장","1732","12","12"
"구로구","2021","전통시장","1091","8","9"
"도봉구","2021","전통시장","1531","11","10"
"관악구","2021","골목상권","7381","13","11"
"양천구","2018","발달상권","5191","12","16"
"중랑구","2018","전통시장","1942","13","15"
"중구","2018","발달상권","19363","7","12"
"용산구","2018","관광특구","1752","11","15"
"영등포구","2017","골목상권","6828","13","14"
"양천구","2019","발달상권","5066","12","14"
"성동구","2020","발달상권","2719","10","13"
